epoch,dw_kl_loss,kl_loss,loss,mi_loss,rec_loss,tc_loss,val_dw_kl_loss,val_kl_loss,val_loss,val_mi_loss,val_rec_loss,val_tc_loss
0,208.5632204304293,3.048270113159731,1170.8622661564257,-3.0567222424454026,1140.263690704995,-202.44664064284083,208.36981159677376,7.380380128495779,837.9071860121991,-1.3299244347900545,764.2609885886864,-199.6752674196324
1,208.4432089398672,7.49549872131289,812.6609183364695,-0.9458156625315666,737.7163634604597,-200.00293778973463,208.39421741751275,7.079704122417428,771.1607047791521,-0.5714566570925821,700.3927978515625,-200.7459700676612
2,208.50892485741923,8.157759826483549,757.2820440603795,-0.2792027575403567,675.6694456059882,-200.06846225443994,208.58992525134497,8.981503699730194,740.4411237820547,-0.14498905495161304,650.3552065248842,-199.4363444706764
3,208.44585466121526,8.567697709989703,729.9420011402475,-0.14705466647014073,643.599117522544,-199.66451163297475,208.4329115885124,9.026407528111147,717.0817524829674,-0.10831089696153598,627.133831108941,-199.32980855414823
4,208.41722481779735,9.071433206109402,719.2511707070631,-0.10321100989980143,628.2534189427153,-199.21423863146288,208.3675440965443,8.62095741168141,710.7031876271067,-0.13743332826730092,624.7828111436631,-199.63807311993253
5,208.41894035332865,9.5400339416597,709.4408496783919,-0.07036109672266642,614.0498420228349,-198.80947849105027,208.34174925938217,9.129321826690786,704.6620258978433,-0.08974694570443935,613.6406684027778,-199.14986656417116
6,208.41412920911563,9.78865859357191,706.753493946733,-0.06304625373954298,608.7050226089802,-198.54623582160082,208.33343545142975,9.515198799222992,701.7843490022282,-0.06651016102888406,606.680864348235,-198.75657682500145
7,208.41663609495268,10.069545621457777,699.2708981272426,-0.05671530343048074,598.4217366969332,-198.27500464849138,208.3760722175986,9.820818733837886,696.9382245902451,-0.06138087504945283,598.989823404948,-198.51985122401922
8,208.42455165412815,10.33571751076754,694.9813227966838,-0.04295125583917759,592.0104129872424,-198.08450941734472,208.38862000091268,10.246074845181202,693.9798388407697,-0.046045846120425046,591.2655978732639,-198.07115005804172
9,208.42558764869963,10.450176270373639,691.9401745239013,-0.03929472318458261,587.4971164135222,-197.94198711447706,208.4139508257497,10.677983568842134,687.244831054577,-0.02627347662208622,580.4204146773727,-197.70523571140728
10,208.44054838361754,10.653805641360973,688.0364482289556,-0.03493922988316206,581.7033058328832,-197.7722949141269,208.42262301989584,10.770218037380832,685.8494361162875,-0.031064841894175518,578.0634960033276,-197.61296416670544
11,208.41751604864584,10.749453967197459,685.8947843231606,-0.034709144680511984,578.4120226920919,-197.63453074085845,208.38128005876342,10.415345843281974,684.0708340326004,-0.03973691858891564,580.2489081488716,-197.95935055180166
12,208.42538788359695,10.749526805771687,685.3321692743166,-0.03610936840682767,577.4972436783162,-197.60578595559008,208.4611040436181,11.172722003259851,684.9397373908304,-0.029049364488729697,572.9457695855035,-197.2326578985967
13,208.4276979552901,10.818166245299889,684.616295535482,-0.035981080239334204,576.3444465474879,-197.56453197625132,208.41355852289578,10.815031270371097,682.4170212272662,-0.034318076346140924,573.9086981879341,-197.5284081426166
14,208.4486267345845,10.886572671380733,683.2634922311734,-0.03440984089019823,574.567363982505,-197.54460406882765,208.39834743404188,10.670782596606793,683.0342724516836,-0.03562541645779264,576.5703052662037,-197.7163252990362
15,208.4352316545179,10.884216551845647,681.0778647967992,-0.03209672390461133,572.2513583568816,-197.52048428662192,208.4233645976534,10.916379050103815,680.9928132200309,-0.026524559401871612,571.961402271412,-197.49369894338966
16,208.43676634720515,10.941666254618982,680.2987282569736,-0.0337578894642382,570.6611269687085,-197.4392483289144,208.40963191087354,10.797588169706987,681.9366316476703,-0.03426305762964692,573.7792376482928,-197.55962945330617
17,208.42046720217078,10.99426504293259,680.3753008536813,-0.02897154818598193,570.1811836729659,-197.37208393591345,208.41968436060696,10.858279672032367,681.080521295248,-0.03119784554516067,572.5047426576967,-197.5309086513067
18,208.427119041545,11.073594951090246,677.238878459338,-0.03126766300528088,566.5607648808906,-197.328040020695,208.43383247189138,11.131167862177083,679.9837856276414,-0.029229346754881036,568.6666983145254,-197.27289439382469
19,208.43513860951882,11.166346312546526,677.613111406809,-0.02432392877467136,566.123471523853,-197.2618506924486,208.42829996576586,11.173027693578156,682.3829685011327,-0.028548637119076254,570.3426233362269,-197.19571681215618
20,208.44393007501716,11.159730101840704,676.7385628474957,-0.0272945244320308,564.8692928882356,-197.22970855465917,208.4863161617537,11.875407788127372,679.4598337837923,-0.015559963942862345,560.5083930121527,-196.57561212064675
21,208.44411655426848,11.26881313685193,675.1285691919559,-0.027330438863683207,562.6409121574239,-197.16802041195177,208.4302987117263,11.339228082862235,678.4213283939339,-0.02439932206622578,565.3575774016203,-197.09952429042877
22,208.4509897283912,11.326944205117606,674.5861386527205,-0.022082593377014435,561.3227603993518,-197.1025693096772,208.39832368137905,10.559832073203664,677.8507855987796,-0.04232520491533081,572.0043438946759,-197.77135430605333
23,208.4329085682448,11.386866038157065,672.2513050643158,-0.02750598743591767,558.5574449579766,-197.03601657017512,208.45666363456579,11.38256312299552,676.6273515685557,-0.022358571356569948,562.5345499674479,-197.0250249030983
24,208.4367355401567,11.401592511069595,672.9073868383148,-0.023371457505579073,558.8733062744141,-197.00995602626094,208.41133636047027,10.752862012754106,677.0765834305357,-0.03319403093886138,569.1586136429398,-197.58634535077178
25,208.45295688438344,11.381314077111842,671.5044119766785,-0.02506305118689844,557.2918714158078,-197.0066397771095,208.44607775771073,11.432250187651011,676.0348585014527,-0.01976424998872123,561.8940574363426,-197.0122334012109
26,208.45034434117858,11.459690251903341,670.7990241371849,-0.024984688748241633,556.3118752012862,-196.97664475884056,208.4058712628115,11.404245482311522,676.0726426972782,-0.025713520562167438,562.046300817419,-196.9775235542633
27,208.4510395751207,11.463863905457233,671.4645795463675,-0.024418653712290614,557.1442272105115,-196.99458568782282,208.44563392275856,11.214857541158647,678.4911608037784,-0.030661973888552282,566.3647800021702,-197.20233386870927
28,208.46106479230315,11.532445511236757,670.4181201762879,-0.026261184972988485,555.5103133181308,-196.9440229215143,208.45896675177872,11.876008476556477,683.2350758158415,-0.018369350325783646,564.275025318287,-196.5445923516975
29,208.4505474724877,11.53497756909374,669.0929719794584,-0.02677067182222437,553.9025539641684,-196.90473499913668,208.39456873717896,10.937283773341921,677.0762644904314,-0.027230344841290045,567.6602498372396,-197.42573692701845
30,208.44776555169534,11.549323505629706,668.7154430204052,-0.021166329658993458,553.2898134272149,-196.88403626271722,208.45426162546093,11.757403998895114,676.1625112516098,-0.02085126569313947,559.02685546875,-196.71984478148192
31,208.47624161599765,11.616795819730514,669.7154682360543,-0.023058223370891796,553.8817081857235,-196.86980738759365,208.42717247372846,11.106575292624495,679.5618177746766,-0.03162935706576023,568.6659129955151,-197.30595263874662
32,208.46407644387116,11.600831897046213,667.7169856477681,-0.026958878902007696,551.789552566853,-196.8443742568774,208.43926340349577,11.917794349892725,677.1298489161696,-0.018721581211421142,557.928291829427,-196.50038611361003
33,208.443543894578,11.616785489532703,665.8652795974109,-0.020935067816094544,549.6517509298121,-196.80125596000212,208.45101083577427,11.70386910103922,678.1823465315214,-0.018087304561643102,560.9306755913628,-196.70775643719682
34,208.46368722743884,11.631845000470928,666.7646173455221,-0.021939026965661256,550.2266842456575,-196.7879548904866,208.46015965073119,11.632839455570736,677.9301449675363,-0.01842848708744196,561.6223958333334,-196.8109562502236
35,208.4591261352991,11.691588090541511,664.3015687710008,-0.020706692097277712,547.2785707838992,-196.73611964449165,208.4190282291857,11.227978297959307,675.9310514839539,-0.026404862434905998,563.2896629050925,-197.12848450886457
36,208.46206690873728,11.689523380110035,664.5989240037924,-0.022472802977337503,547.6890201974422,-196.74860372512472,208.4649380666521,11.760654894469095,677.3186803660556,-0.023130502666194836,559.8387686270255,-196.69381639008276
37,208.45678857826246,11.758624690943021,664.355475158585,-0.02132950792361493,546.7199767092441,-196.6719092254047,208.43168815014053,11.471850838212477,678.8090396784356,-0.022068081695539914,563.6707849573206,-196.89579459633356
38,208.46781635144396,11.849206335900655,663.2171396447579,-0.025406382981052595,545.1868768245616,-196.63938368644338,208.46548918378045,11.516373129796323,690.4373666557619,-0.022310657647444564,575.258275462963,-196.9252694068533
39,208.45713392655705,11.851291587892007,663.455956062287,-0.025104754045782864,545.150033504405,-196.60143691672303,208.46687606148768,11.757481566591341,678.7886906895627,-0.02750507574957022,561.3043380172164,-196.69093571850368
40,208.46397401651635,11.864709603216578,660.8490035561224,-0.022263262936304533,542.2001235637259,-196.5768227543405,208.44839662647902,11.465384167963267,678.9414612165647,-0.025660480386398725,564.5583306206597,-196.9844230865021
41,208.4622476820132,11.927904401664486,660.7315105524588,-0.020554429634802803,541.7518717989009,-196.54372937702286,208.43718278420306,11.69718809077106,681.3495980107894,-0.021695650525942908,564.2315135814525,-196.70367869074346
42,208.45778453470817,11.947189109838607,659.3954973442662,-0.021047911139111267,539.9341782914831,-196.49060471829085,208.40100033023856,11.34392091045769,679.2898501330529,-0.02572103808946054,566.1064281322338,-197.05693709206727
43,208.4654669843855,11.973404187052028,658.4585402645422,-0.02114425089889101,538.7361549215113,-196.47208419918354,208.48527750743645,12.294401344964264,682.0760780175159,-0.014531107481208307,559.3601325141059,-196.1991518496142
44,208.47857733335707,12.009754156574878,656.4765024382873,-0.022495260137419523,536.1458477263755,-196.42301660202858,208.45225411139305,11.72196746685175,684.3488549765515,-0.023598231447308674,567.1552322952836,-196.70929361181894
45,208.46624763840504,12.081629399113119,657.4048760690829,-0.021758416459376224,536.6515918488199,-196.36916079991954,208.45903182364646,11.927817401126312,681.9877228881797,-0.020969362529217283,563.0147662127459,-196.5407667935738
46,208.48802957693567,12.184824061882324,655.393628865068,-0.02093106623319094,533.8558349609375,-196.31331912028966,208.48648765072383,11.489683758395756,692.9199862277028,-0.03003385663748645,577.4402940538195,-196.9084845766981
47,208.49528196291791,12.1973154948297,655.2377807011195,-0.016649521530495752,533.5922127581657,-196.31407564709227,208.44968541034493,12.046382414291164,683.607589667972,-0.018955763642093545,562.9803145797165,-196.3680021378772
48,208.47896398949365,12.19356106935928,653.6431356313365,-0.017473516836664645,531.3781921711374,-196.23499612663716,208.48490851466698,12.213390468161846,687.2949092346877,-0.01848487184244682,564.7077354148582,-196.20770626084177
49,208.487710387981,12.281829544615018,652.0666528646617,-0.015593319446577674,529.1181418236266,-196.17726596443077,208.45935434633722,12.099555181664948,685.7493253205578,-0.02275989411607708,564.5653695565683,-196.31819887582216
50,208.48749014950562,12.36326002225665,652.0595524867836,-0.01720057207969073,528.4746919997195,-196.11180352871946,208.47861480363355,12.149231527032839,687.133283804588,-0.02476060238659855,566.0680067274305,-196.34732649353117
51,208.49475002317,12.461729886136999,649.9004759377391,-0.017476738023772472,525.6649488083859,-196.05372057221086,208.47643422394233,12.261129323046239,688.3195527628208,-0.017788639163694275,565.6716900860822,-196.1938593171049
52,208.50439330182084,12.436891397917556,647.9078233205305,-0.020702382186773054,523.2456760812313,-196.01747619570415,208.4721083929006,12.057006834521191,691.096396404002,-0.02188468012348469,570.5716371889467,-196.3977477912715
